"_id","id","channelId","title"
"IN_1","1","UCBR8-60-B28hp2BmDPdntcQ","Film & Animation"
"IN_2","2","UCBR8-60-B28hp2BmDPdntcQ","Autos & Vehicles"
"IN_3","10","UCBR8-60-B28hp2BmDPdntcQ","Music"
"IN_4","15","UCBR8-60-B28hp2BmDPdntcQ","Pets & Animals"
"IN_5","17","UCBR8-60-B28hp2BmDPdntcQ","Sports"
"IN_6","18","UCBR8-60-B28hp2BmDPdntcQ","Short Movies"
"IN_7","19","UCBR8-60-B28hp2BmDPdntcQ","Travel & Events"
"IN_8","20","UCBR8-60-B28hp2BmDPdntcQ","Gaming"
"IN_9","21","UCBR8-60-B28hp2BmDPdntcQ","Videoblogging"
"IN_10","22","UCBR8-60-B28hp2BmDPdntcQ","People & Blogs"
"IN_11","23","UCBR8-60-B28hp2BmDPdntcQ","Comedy"
"IN_12","24","UCBR8-60-B28hp2BmDPdntcQ","Entertainment"
"IN_13","25","UCBR8-60-B28hp2BmDPdntcQ","News & Politics"
"IN_14","26","UCBR8-60-B28hp2BmDPdntcQ","Howto & Style"
"IN_15","27","UCBR8-60-B28hp2BmDPdntcQ","Education"
"IN_16","28","UCBR8-60-B28hp2BmDPdntcQ","Science & Technology"
"IN_17","30","UCBR8-60-B28hp2BmDPdntcQ","Movies"
"IN_18","31","UCBR8-60-B28hp2BmDPdntcQ","Anime/Animation"
"IN_19","32","UCBR8-60-B28hp2BmDPdntcQ","Action/Adventure"
"IN_20","33","UCBR8-60-B28hp2BmDPdntcQ","Classics"
"IN_21","34","UCBR8-60-B28hp2BmDPdntcQ","Comedy"
"IN_22","35","UCBR8-60-B28hp2BmDPdntcQ","Documentary"
"IN_23","36","UCBR8-60-B28hp2BmDPdntcQ","Drama"
"IN_24","37","UCBR8-60-B28hp2BmDPdntcQ","Family"
"IN_25","38","UCBR8-60-B28hp2BmDPdntcQ","Foreign"
"IN_26","39","UCBR8-60-B28hp2BmDPdntcQ","Horror"
"IN_27","40","UCBR8-60-B28hp2BmDPdntcQ","Sci-Fi/Fantasy"
"IN_28","41","UCBR8-60-B28hp2BmDPdntcQ","Thriller"
"IN_29","42","UCBR8-60-B28hp2BmDPdntcQ","Shorts"
"IN_30","43","UCBR8-60-B28hp2BmDPdntcQ","Shows"
"IN_31","44","UCBR8-60-B28hp2BmDPdntcQ","Trailers"
